role_frac,seed,jaccard,base_edges,kanon_pct,kanon_overlap_pct,kdegree_pct,deanon_pct
0.0,0,0.039641336311287655,2249,177.99021787461095,167.0520231213873,4.224099599822143,0.0
0.0,1,0.04888262627181627,2558,178.02971071149335,165.8717748240813,2.8928850664581702,0.0
0.0,2,0.0455911431219048,2447,175.52104617899468,165.67225173682058,3.391908459337965,0.0
0.0,3,0.049042742653914874,2608,177.6840490797546,168.17484662576686,3.642638036809816,0.0
0.0,4,0.051363113974862235,2702,174.64840858623242,162.69430051813472,3.3308660251665434,0.0
0.0,5,0.043232635229915675,2365,181.86046511627907,169.3446088794926,5.031712473572939,0.0
0.0,6,0.04255271419754407,2361,178.3142736128759,169.12325285895807,4.066073697585769,0.0
0.0,7,0.048652090693219865,2585,176.09284332688588,167.07930367504835,3.0560928433268857,0.0
0.0,8,0.04980599011083466,2570,174.55252918287937,167.8988326848249,3.035019455252918,0.0
0.0,9,0.034103614286176795,1942,179.04222451081358,177.75489186405767,5.561277033985582,0.0
0.0,10,0.0451613194970694,2516,180.92209856915738,168.68044515103338,3.696343402225755,0.0
0.0,11,0.05601769091969025,2840,176.30281690140845,160.95070422535213,3.3098591549295775,0.0
0.0,12,0.03772858289063995,2076,181.79190751445086,173.84393063583815,4.720616570327553,0.0
0.0,13,0.03789105517386803,2292,181.45724258289704,166.2303664921466,4.363001745200698,0.0
0.0,14,0.04574074310744803,2479,176.68414683340058,167.56756756756758,3.5094796288826138,0.0
0.0,15,0.051980770116998996,2587,174.3718592964824,167.80054116737534,3.401623502126015,0.0
0.0,16,0.048458256028240755,2660,176.61654135338347,165.93984962406014,3.5338345864661656,0.0
0.0,17,0.05754126586550632,2930,169.1467576791809,160.44368600682594,3.4470989761092152,0.0
0.0,18,0.05755286680953605,2921,175.79596028757274,161.41732283464566,3.59465936323177,0.0
0.0,19,0.04698642905355394,2500,176.32,169.36,3.64,0.0
0.0,20,0.0472265703883658,2453,180.5136567468406,169.99592335915207,3.505911129229515,0.0
0.0,21,0.054505815282049404,2808,172.07977207977208,162.46438746438747,4.522792022792022,0.0
0.0,22,0.051503476505960905,2621,174.74246470812668,167.03548264021367,3.8153376573826785,0.0
0.0,23,0.0571723531544062,2849,170.12987012987014,164.09266409266408,3.088803088803089,0.0
0.0,24,0.04565775400613455,2532,172.07740916271723,168.12796208530807,3.5545023696682465,0.0
0.0,25,0.04460165726113679,2436,178.85878489326765,170.19704433497537,4.2282430213464695,0.0
0.0,26,0.05398227052997923,2770,174.90974729241879,163.82671480144404,2.96028880866426,0.0
0.0,27,0.048590085202252505,2629,177.90034233548877,165.80448839863067,3.7656903765690375,0.0
0.0,28,0.05575472841078881,2756,169.73875181422352,167.23512336719884,3.374455732946299,0.0
0.0,29,0.04148279392781369,2310,180.25974025974025,169.95670995670994,4.372294372294372,0.0
0.15,0,0.05508642516842495,2311,179.0134141064474,162.31068801384683,4.716572912159238,0.0
0.15,1,0.05880875542767816,2570,176.07003891050584,156.49805447470817,3.9688715953307394,0.0
0.15,2,0.0600016051390914,2525,169.66336633663366,160.15841584158414,3.6435643564356437,0.0
0.15,3,0.050888994655581825,2193,181.3497492020064,165.84587323301415,3.465572275421797,0.0
0.15,4,0.056403883762651055,2381,173.45653086938262,163.96472070558588,4.451910961780764,0.0
0.15,5,0.07337334810183013,3041,165.14304505097007,153.79809273265374,2.5978296612956266,0.0
0.15,6,0.05908032891681098,2671,170.3481842006739,158.06813927368026,3.257207038562336,0.0
0.15,7,0.05680953676152597,2441,172.4293322408849,157.80417861532158,3.031544448996313,0.0
0.15,8,0.06255262442159219,2673,172.09128320239432,155.48073325851104,3.479236812570146,0.0
0.15,9,0.05515739994281295,2535,175.77909270216963,158.30374753451676,3.826429980276134,0.0
0.15,10,0.05426439996744086,2367,174.27122940430925,162.48415716096324,3.760033798056612,0.0
0.15,11,0.05024804668436135,2188,173.81170018281534,164.12248628884825,3.473491773308958,0.0
0.15,12,0.054087193903081456,2329,177.93044224989265,160.32632030914556,3.9931300987548304,0.0
0.15,13,0.06423493788039183,2711,166.43305053485798,159.8672076724456,3.578015492438215,0.0
0.15,14,0.06569987224606988,2644,167.13313161875945,160.62783661119516,3.668683812405446,0.0
0.15,15,0.05692471763787281,2462,171.5272136474411,162.7944760357433,3.736799350121852,0.0
0.15,16,0.06604480405225625,2782,171.17181883537023,155.14018691588785,3.0913012221423437,0.0
0.15,17,0.05663995313347318,2359,175.8372191606613,162.950402713014,4.620601949978805,0.0
0.15,18,0.06443453790734019,2585,170.59961315280464,157.36943907156675,3.8684719535783367,0.0
0.15,19,0.052983616664245,2448,178.92156862745097,159.55882352941177,3.7173202614379086,0.0
0.15,20,0.060663714599799114,2565,170.09746588693957,156.80311890838206,3.391812865497076,0.0
0.15,21,0.07027160815686719,2905,167.1944922547332,152.90877796901893,3.648881239242685,0.0
0.15,22,0.05664032920132152,2330,173.13304721030042,161.11587982832617,4.549356223175966,0.0
0.15,23,0.06481422146591552,2646,172.03325774754347,152.7588813303099,2.9100529100529102,0.0
0.15,24,0.060178555106884635,2690,169.47955390334573,156.95167286245353,3.0483271375464684,0.0
0.15,25,0.05323522723877164,2317,180.62149331031506,160.89771255934397,4.056970220112214,0.0
0.15,26,0.05815695161123763,2540,171.45669291338584,159.60629921259843,3.5039370078740157,0.0
0.15,27,0.047900124178919694,2047,175.2808988764045,168.73473375671713,4.689789936492428,0.0
0.15,28,0.05970781517663555,2627,176.170536733917,156.41416063951274,3.9969547011800532,0.0
0.15,29,0.061188257159499514,2704,171.70857988165682,153.88313609467457,3.2544378698224854,0.0
0.3,0,0.06548364051437547,2333,179.854264894985,154.05057865409344,3.171881697385341,0.0
0.3,1,0.06923159909549742,2301,172.1425467188179,154.9760973489787,4.432855280312907,0.0
0.3,2,0.07523709155663148,2658,168.51015801354401,148.49510910458991,3.0850263355906695,0.0
0.3,3,0.06734708223112895,2583,169.68641114982577,145.52845528455285,3.6004645760743323,0.0
0.3,4,0.06073016609832519,2147,174.14997671169073,153.5631113181183,3.7727061015370285,0.0
0.3,5,0.0615066885491513,2097,175.3934191702432,147.40104911778732,4.530281354315689,0.0
0.3,6,0.07329015537328662,2429,164.92383696994648,149.15603128859613,3.9934129271305063,0.0
0.3,7,0.07492721951464312,2565,166.19883040935673,153.99610136452242,4.522417153996101,0.0
0.3,8,0.06993748040588618,2561,170.98789535337758,155.56423272159313,3.3190160093713392,0.0
0.3,9,0.0632013424878994,2246,170.61442564559218,149.3766696349065,3.695458593054319,0.0
0.3,10,0.07009049189095916,2506,171.4684756584198,149.80047885075817,4.309656823623304,0.0
0.3,11,0.06542426223927462,2256,173.5372340425532,152.03900709219857,4.078014184397163,0.0
0.3,12,0.07060793888935532,2562,168.9305230288837,147.81420765027323,3.395784543325527,0.0
0.3,13,0.06899820722178264,2567,169.30268796260225,145.96805609661084,3.934553954031944,0.0
0.3,14,0.07566403801719611,2712,163.71681415929203,142.9203539823009,3.355457227138643,0.0
0.3,15,0.07699673212845516,2740,167.7007299270073,146.71532846715328,3.613138686131387,0.0
0.3,16,0.06937305262987169,2466,172.4249797242498,147.2830494728305,3.6496350364963503,0.0
0.3,17,0.07961699442936175,2830,168.26855123674912,146.3957597173145,3.568904593639576,0.0
0.3,18,0.0821857406085129,3048,163.7795275590551,141.4698162729659,3.083989501312336,0.0
0.3,19,0.08219963638081447,2827,165.9709939865582,140.53767244428724,3.537318712415989,0.0
0.3,20,0.08101795528296171,2923,168.1491618200479,145.63804310639753,3.2158741019500514,0.0
0.3,21,0.07012740831883008,2746,169.0094683175528,141.4056809905317,3.5688273852876913,0.03641660597232338
0.3,22,0.07217805060156905,2542,169.1974822974036,142.56490952006294,4.091266719118804,0.0
0.3,23,0.061583143304500446,2281,172.55589653660675,153.96755808855764,4.734765453748356,0.0
0.3,24,0.06635021802074487,2459,168.4017893452623,149.41032940219603,4.2293615290768605,0.0
0.3,25,0.08005142654789879,2840,162.92253521126761,140.95070422535213,3.4859154929577465,0.0
0.3,26,0.05996099228412751,2281,172.77509864094696,155.37045155633493,4.997807978956598,0.0
0.3,27,0.07887202067476011,2689,166.19561175158051,148.75418371141689,3.34696913350688,0.0
0.3,28,0.07556230676369458,2777,166.72668347137198,144.25639178970113,3.817068779258192,0.0
0.3,29,0.06740313258857394,2315,174.64362850971924,149.58963282937364,4.535637149028077,0.0
0.45,0,0.08035355018165548,2474,170.00808407437347,131.64915117219078,3.799514955537591,0.0
0.45,1,0.07351662719235688,2406,169.82543640897757,139.02743142144638,4.738154613466334,0.0
0.45,2,0.08342159621096508,2603,166.0391855551287,137.5336150595467,3.9185555128697658,0.0
0.45,3,0.06871033143073071,2301,173.35940895262928,142.19904389395916,4.34593654932638,0.0
0.45,4,0.08215748184543549,2516,168.12400635930047,138.79173290937996,3.7758346581875992,0.0
0.45,5,0.07746165419418849,2389,168.5223943072415,140.85391377145248,3.976559229803265,0.0
0.45,6,0.07880038620311766,2410,174.31535269709545,133.23651452282158,4.481327800829876,0.0
0.45,7,0.08977656992194359,2789,161.9935460738616,125.52886339189673,3.6213696665471495,0.0
0.45,8,0.0877561709896739,2534,161.91791633780585,135.83267561168114,4.1041831097079715,0.0
0.45,9,0.07322880200000877,2275,175.07692307692307,138.06593406593407,3.912087912087912,0.0
0.45,10,0.0920253441406371,2632,164.8176291793313,129.14133738601825,3.4954407294832825,0.0
0.45,11,0.07175329260715779,2253,174.4340878828229,139.41411451398136,4.083444296493564,0.0
0.45,12,0.08004936000238028,2324,170.99827882960412,129.3459552495697,4.604130808950086,0.0
0.45,13,0.07267544982475775,2426,167.55976916735366,141.6323165704864,3.009068425391591,0.0
0.45,14,0.08370951322220999,2503,165.12185377546945,132.12145425489413,2.9165001997602875,0.0
0.45,15,0.07388407372633561,2225,166.8314606741573,138.56179775280899,4.179775280898877,0.0
0.45,16,0.08101719773129662,2297,169.13365259033523,134.5668262951676,4.1793643883326075,0.0
0.45,17,0.08197287886552845,2548,167.07221350078493,131.27943485086342,4.081632653061225,0.0
0.45,18,0.06480128502827338,1973,176.0770400405474,137.81044095286367,5.575266092245312,0.0
0.45,19,0.08750443891220283,2764,164.6888567293777,131.80173661360348,3.219971056439942,0.0
0.45,20,0.08233210200698278,2619,165.67392134402445,137.30431462390226,3.9709812905689192,0.0
0.45,21,0.08604145769450246,2570,162.33463035019454,128.24902723735408,3.6186770428015564,0.0
0.45,22,0.0754611044264208,2328,172.29381443298968,134.57903780068727,4.29553264604811,0.0
0.45,23,0.09382937690710857,2849,164.58406458406458,130.8880308880309,3.194103194103194,0.0
0.45,24,0.07658516139354499,2470,168.50202429149797,136.8421052631579,4.534412955465587,0.0
0.45,25,0.07204212048790068,2311,173.08524448290783,128.38598009519689,3.6347901341410647,0.0
0.45,26,0.076667528034051,2417,165.4530409598676,142.65618535374432,3.764997931319818,0.0
0.45,27,0.09218323805135946,2550,164.94117647058823,145.5686274509804,3.215686274509804,0.0
0.45,28,0.0685422864312132,2127,170.85096379877763,134.79078514339446,4.513399153737659,0.0
0.45,29,0.07863516543296925,2518,165.9650516282764,135.2660841938046,2.6211278792692614,0.0
0.6,0,0.0804293312562029,2407,168.17615288741172,109.72164520149563,3.9052762775238885,0.0
0.6,1,0.09284246163938285,2586,164.96519721577727,113.03170920340294,4.215003866976025,0.0
0.6,2,0.0817726301206301,2231,170.37203047960557,114.65710443747199,4.123711340206185,0.0
0.6,3,0.10386841054074153,2746,160.05098324836126,108.73998543335762,3.4231609613983975,0.0
0.6,4,0.08848054048863535,2278,168.92010535557506,119.35908691834943,4.345917471466199,0.0
0.6,5,0.09224992326781348,2535,167.45562130177515,118.22485207100591,3.905325443786982,0.0
0.6,6,0.0952634278711026,2572,165.6298600311042,114.65785381026438,3.615863141524106,0.0
0.6,7,0.08374386115246492,2084,174.4721689059501,120.53742802303263,4.846449136276392,0.0
0.6,8,0.08552978239725625,2319,167.91720569210867,125.8732212160414,4.3122035360068995,0.0
0.6,9,0.09997546395639832,2692,160.62407132243686,116.67904903417534,3.6032689450222883,0.0
0.6,10,0.08655493044532427,2559,169.44118796404845,121.68815943728019,4.103165298944901,0.0
0.6,11,0.0907736149244804,2611,164.64955955572577,122.78820375335121,3.561853695901953,0.0
0.6,12,0.08073023065094839,2339,171.82556648140232,131.03890551517742,3.890551517742625,0.0
0.6,13,0.08208156247956047,2506,170.2314445331205,115.52274541101357,3.471667996807662,0.03990422984836393
0.6,14,0.08573258193901971,2217,165.58412268831754,106.40505187189896,4.014433919711322,0.0
0.6,15,0.0841923785491552,2246,165.8058771148709,119.45681211041853,3.472840605520926,0.0
0.6,16,0.09486244381043112,2785,160.8258527827648,107.75583482944344,3.518850987432675,0.0
0.6,17,0.0985202109653026,2594,162.41326137239784,101.19506553585197,4.009252120277564,0.0
0.6,18,0.09085422122879776,2650,169.20754716981133,108.26415094339623,3.7735849056603774,0.0
0.6,19,0.09899110723647697,2720,164.0441176470588,116.61764705882354,3.3088235294117645,0.0
0.6,20,0.07805404404307684,2333,164.33776253750537,120.31718816973853,4.286326618088299,0.0
0.6,21,0.09097510828153012,2400,165.70833333333334,123.75,4.208333333333333,0.0
0.6,22,0.07534848789634396,2080,172.54807692307693,117.11538461538461,5.0,0.0
0.6,23,0.09223307757097446,2374,169.83993260320136,120.76663858466723,3.2434709351305813,0.0
0.6,24,0.08681103069097325,2258,172.14348981399468,131.2666076173605,3.9858281665190436,0.0
0.6,25,0.0901826623731838,2348,168.6115843270869,117.206132879046,4.173764906303237,0.0
0.6,26,0.10500578590047042,2681,163.29727713539725,112.08504289444237,3.319656844461022,0.0
0.6,27,0.10257957441248158,2824,164.73087818696885,117.63456090651557,3.2223796033994336,0.0
0.6,28,0.08945831012128574,2607,161.75680859225162,121.05868814729574,3.9892596854622173,0.0
0.6,29,0.08590484991835089,2062,170.17458777885548,129.67992240543163,4.995150339476237,0.04849660523763336
0.75,0,0.09901682028473137,2492,159.79133226324237,98.75601926163723,3.5714285714285716,0.0
0.75,1,0.11116914663141969,2731,161.36946173562797,94.76382277554009,3.515195898938118,0.0
0.75,2,0.10665493393251123,2479,165.18757563533683,97.13594191206131,3.630496167809601,0.0
0.75,3,0.10276116945496794,2549,162.69125147116517,90.27069438995684,3.7661828167908986,0.0
0.75,4,0.09834665889045176,2362,166.51143099068585,109.48348856900931,4.064352243861134,0.0
0.75,5,0.09976725151484299,2688,161.79315476190476,94.82886904761905,3.7202380952380953,0.0
0.75,6,0.11656491954833843,2610,161.0727969348659,92.10727969348659,3.5632183908045976,0.0
0.75,7,0.10547839844129571,2620,166.06870229007635,92.63358778625954,3.931297709923664,0.0
0.75,8,0.11205301538387007,2727,163.2929959662633,95.41620828749542,3.7037037037037037,0.03667033370003667
0.75,9,0.11425911878436568,2555,160.90019569471625,102.62230919765166,2.8962818003913893,0.0
0.75,10,0.11509053539514852,2620,162.44274809160305,101.7175572519084,2.5572519083969465,0.0
0.75,11,0.09437437833135996,2497,168.442130556668,95.59471365638767,3.8846615939126954,0.0
0.75,12,0.09836825047070426,2487,167.3502211499799,106.875753920386,3.216726980297547,0.0
0.75,13,0.09826154404643654,2159,166.6512274201019,106.90134321445113,4.12227883279296,0.04631773969430292
0.75,14,0.11035637073255537,2759,161.03660746647336,98.2964842334179,3.008336353751359,0.03624501631025734
0.75,15,0.09683570857395442,2292,166.27399650959862,100.26178010471205,4.450261780104712,0.0
0.75,16,0.11042487106019988,2521,162.47520825069418,103.490678302261,3.2130107100357,0.0
0.75,17,0.10669936233817572,2485,164.1046277665996,89.09456740442656,3.5814889336016096,0.0
0.75,18,0.0960851224017349,2408,171.22093023255815,94.39368770764119,3.654485049833887,0.0
0.75,19,0.10409837240039621,2613,163.98775353999235,105.4726368159204,3.482587064676617,0.0
0.75,20,0.09705066091082117,2365,163.6786469344609,109.21775898520085,4.735729386892178,0.042283298097251586
0.75,21,0.11879145209656038,2701,158.42280636801183,93.44687152906332,3.628285820066642,0.0
0.75,22,0.10409347601348844,2740,165.47445255474452,86.78832116788321,3.613138686131387,0.0
0.75,23,0.09161942782094472,2343,172.81263337601365,105.50576184379001,4.225352112676056,0.0
0.75,24,0.09955958833655164,2468,168.80064829821717,104.13290113452187,4.051863857374392,0.0
0.75,25,0.10388841388359038,2560,165.234375,100.8984375,3.515625,0.0
0.75,26,0.10467486041282899,2437,164.71070988920803,105.08822322527698,4.267542059909725,0.0
0.75,27,0.10037171843112126,2754,162.52723311546842,92.0479302832244,3.0501089324618738,0.03631082062454612
0.75,28,0.09873010643002973,2578,163.57641582622188,98.02172226532196,4.228083785880528,0.0
0.75,29,0.09246597074395772,2330,173.69098712446353,100.90128755364807,3.819742489270386,0.04291845493562232
0.9,0,0.11874526481897495,2475,162.5050505050505,80.52525252525253,3.6363636363636362,0.04040404040404041
0.9,1,0.12677184590243612,2708,160.63515509601183,85.2658788774003,3.5819793205317576,0.03692762186115214
0.9,2,0.10668857871697598,2573,164.01088223863195,83.44345122425185,3.6921881072677807,0.0388651379712398
0.9,3,0.12578585637501366,2484,161.39291465378423,89.4524959742351,3.5829307568438002,0.040257648953301126
0.9,4,0.10582698668771195,2364,165.65143824027072,73.68866328257191,4.187817258883249,0.0
0.9,5,0.1267767438282096,2769,165.00541711809316,69.30299747201155,3.3947273383893104,0.0
0.9,6,0.1269180438356751,2837,161.61438138879097,77.33521325343673,3.5248501938667607,0.035248501938667604
0.9,7,0.12091122443348887,2859,164.0783490731025,77.92934592514865,3.707590066456803,0.0
0.9,8,0.11353755475065033,2500,169.2,80.12,4.28,0.04
0.9,9,0.11246279145203474,2528,171.20253164556962,78.20411392405063,3.5996835443037973,0.0
