method,k,edges_added,pct,nodes_added,runtime_s,utility_js,utility_legacy,property_verified
DeAnonMinGraph,,28,0.5105762217359592,0,0.026114900000038688,0.42278602459215386,0.0,True
kAnonHomogenize,2,2728,49.74471188913202,0,0.012388999999984662,0.23788656239707484,0.0,True
kAnonHomogenize-Overlap,2,3019,55.051057622173595,0,0.009616499999992811,0.21256384129314432,0.0,True
k-Degree (Liu-Terzi),2,898,16.37490882567469,0,0.0038649000000532396,0.5914551282004361,0.0,
Lower bound (degree relaxation),2,898,16.37490882567469,0,0.0,,,
kAnonHomogenize,3,6726,122.64770240700219,0,0.011215900000024703,0.08466517719588651,0.0,True
kAnonHomogenize-Overlap,3,6399,116.68490153172867,0,0.006676100000049701,0.11266674572528146,0.0,True
k-Degree (Liu-Terzi),3,1700,30.99927060539752,0,0.0024252000000615226,0.4378602897368076,0.0,
Lower bound (degree relaxation),3,1700,30.99927060539752,0,0.0,,,
kAnonHomogenize,5,10385,189.36907366885484,0,0.005977300000040486,0.0541718133552912,0.0,True
kAnonHomogenize-Overlap,5,10378,189.24142961342085,0,0.00668719999998757,0.0812435442645627,0.0,True
k-Degree (Liu-Terzi),5,3732,68.05251641137856,0,0.0033343000000058964,0.30775511140425393,0.0,
Lower bound (degree relaxation),5,3732,68.05251641137856,0,0.0,,,
kAnonHomogenize,10,33126,604.0481400437636,0,0.0066145000000688015,0.0,0.0,True
kAnonHomogenize-Overlap,10,26334,480.19693654266956,0,0.007382400000096823,0.0,0.0,True
k-Degree (Liu-Terzi),10,8015,146.1524434719183,0,0.004586300000028132,0.13704379997815652,0.0,
Lower bound (degree relaxation),10,8015,146.1524434719183,0,0.0,,,
