subject,object
S0,O0
S0,O1
S0,O10
S0,O100
S0,O1003
S0,O1004
S0,O1005
S0,O1007
S0,O1009
S0,O101
S0,O1010
S0,O1011
S0,O1013
S0,O1014
S0,O1015
S0,O1016
S0,O1019
S0,O102
S0,O1021
S0,O1023
S0,O1024
S0,O1025
S0,O1026
S0,O1027
S0,O1028
S0,O1029
S0,O1032
S0,O1034
S0,O1035
S0,O1036
S0,O1037
S0,O1038
S0,O1039
S0,O104
S0,O1040
S0,O1042
S0,O1044
S0,O1046
S0,O1047
S0,O1048
S0,O1049
S0,O105
S0,O1050
S0,O1052
S0,O1054
S0,O1055
S0,O1056
S0,O1057
S0,O1058
S0,O1059
S0,O106
S0,O1060
S0,O1061
S0,O1063
S0,O1064
S0,O1065
S0,O1068
S0,O107
S0,O1070
S0,O1071
S0,O1073
S0,O1074
S0,O1077
S0,O1078
S0,O1079
S0,O108
S0,O1080
S0,O1081
S0,O1083
S0,O1084
S0,O109
S0,O1094
S0,O1097
S0,O1099
S0,O11
S0,O1100
S0,O1102
S0,O1103
S0,O1104
S0,O1105
S0,O1106
S0,O1107
S0,O1108
S0,O1109
S0,O1111
S0,O1112
S0,O1114
S0,O1115
S0,O1116
S0,O112
S0,O1120
S0,O1122
S0,O1123
S0,O1124
S0,O1125
S0,O1127
S0,O1129
S0,O113
S0,O1132
S0,O1134
S0,O1136
S0,O114
S0,O1141
S0,O1142
S0,O1143
S0,O1145
S0,O1146
S0,O1147
S0,O1148
S0,O1151
S0,O1152
S0,O1154
S0,O1157
S0,O1158
S0,O1159
S0,O1160
S0,O1161
S0,O1162
S0,O1163
S0,O1164
S0,O1166
S0,O1167
S0,O1168
S0,O1169
S0,O117
S0,O1173
S0,O1175
S0,O1176
S0,O1179
S0,O118
S0,O1180
S0,O1181
S0,O1183
S0,O1184
S0,O1185
S0,O1186
S0,O1187
S0,O1188
S0,O1189
S0,O119
S0,O1190
S0,O1194
S0,O1195
S0,O1196
S0,O1197
S0,O1199
S0,O12
S0,O120
S0,O1200
S0,O1201
S0,O1202
S0,O1203
S0,O1204
S0,O1205
